Altium Designer Pick and Place Locations
C:\Users\wesr.CLT-DSK-T-6036\Documents\EPFL_AtomicForceMicroscope\altium\afm_adc_v1.0\Project Outputs for AFM_ADC\Pick Place\Pick Place for AFM_ADC_Board(Variant of AFM_ADC 12V Supply).csv

========================================================================================================================
File Design Information:

Date:       08.11.23
Time:       15:59
Revision:   46d9a9d017139d695c41f1eb338635c59ad17d1e
Variant:    Variant of AFM_ADC 12V Supply
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation"
"C108","100n","BottomLayer","C0402","1865,276","1763,493","90"
"C107","100n","BottomLayer","C0402","2022,757","1822,548","270"
"C68","100n","BottomLayer","C0402","2036,536","1556,800","0"
"C67","100n","BottomLayer","C0402","1895,499","1669,292","90"
"C66","100n","BottomLayer","C0402","2148,741","1669,005","90"
"C65","100n","BottomLayer","C0402","2148,741","1759,556","90"
"C64","10u","BottomLayer","C0805","1692,047","1727,272","90"
"C63","10u","BottomLayer","C0805","1786,536","1727,272","90"
"R72","0R","TopLayer","RESC1608X06L","2637,796","933,071","0"
"R71","0R","TopLayer","RESC1608X06L","2636,811","984,420","0"
"J8","OUT_N","TopLayer","0731000207","4358,268","630,985","90"
"C33","100nF/100V","BottomLayer","CAPC1608X09L","3299,213","488,190","180"
"C92","100nF/100V","BottomLayer","CAPC1608X09L","3070,001","509,556","90"
"J6","61201021621","TopLayer","JTAG_CONN_2x5","2376,772","422,835","270"
"R69","0R","TopLayer","RESC1608X06L","3141,733","736,221","180"
"R68","0R","TopLayer","RESC1608X06L","3141,733","787,570","180"
"R23","0R","TopLayer","RESC1608X06L","3141,733","850,394","180"
"R22","0R","TopLayer","RESC1608X06L","3141,733","897,806","180"
"U6","FT2232HL-REEL","TopLayer","QFP50P1200X1200X160-64N","3201,999","413,386","180"
"Y1","7M-12.000MAAJ-T","TopLayer","FP-7M-MFG","3681,103","137,796","0"
"U13","93LC56C-I/SN","TopLayer","SOIC-SN8_L","2724,410","465,384","90"
"SJ1","Solder Jumper, 0603","TopLayer","Solder_Jumper,_0603_(0201)","3555,119","653,544","0"
"R70","12kR","TopLayer","RESC1005X04L","2842,520","281,329","180"
"R67","10kR","TopLayer","RESC1608X06L","2858,436","350,394","270"
"R58","10kR","TopLayer","RESC1608X06L","2724,410","243,928","180"
"R57","10kR","TopLayer","RESC1608X06L","2698,670","295,276","180"
"R21","12kR","TopLayer","RESC1005X04L","3736,221","311,024","90"
"R20","2.2kR","TopLayer","RESC2012X06L","3791,339","645,670","270"
"J10","10103594-0001LF","TopLayer","AMPHENOL_10103594-0001LF","4136,811","121,654","270"
"FB2","BLM15AX601SN1D","TopLayer","INDC1005X05L","3661,418","287,402","270"
"FB1","BLM15AX601SN1D","TopLayer","INDC1005X05L","3759,004","478,967","270"
"C106","100nF/16V","TopLayer","CAPC1005X05L","3543,308","291,339","90"
"C105","4.7uF/10V","TopLayer","CAPC1608X09L","3598,426","279,528","90"
"C104","100nF/16V","TopLayer","CAPC1005X05L","3644,831","482,904","90"
"C103","4.7uF/10V","TopLayer","CAPC1608X09L","3699,949","490,778","90"
"C102","33pF/50V","TopLayer","CAPC1005X05L","3724,410","243,278","180"
"C101","33pF/50V","TopLayer","CAPC1005X05L","3541,172","137,796","270"
"C100","100nF/100V","TopLayer","CAPC1608X09L","2649,607","681,103","90"
"C99","100nF/100V","BottomLayer","CAPC1608X09L","3082,678","370,079","180"
"C98","4.7uF/10V","BottomLayer","CAPC1608X09L","3082,678","312,825","180"
"C97","100nF/100V","BottomLayer","CAPC1608X09L","3162,570","311,024","90"
"C96","100nF/100V","BottomLayer","CAPC1608X09L","3082,678","421,260","0"
"C95","100nF/100V","BottomLayer","CAPC1608X09L","3219,823","309,617","90"
"C94","100nF/100V","BottomLayer","CAPC1608X09L","3137,796","555,119","0"
"C93","100nF/100V","BottomLayer","CAPC1608X09L","3240,325","555,119","180"
"C91","100nF/100V","BottomLayer","CAPC1608X09L","3303,150","287,402","0"
"R19","10k","TopLayer","R0603","3563,034","2192,955","45"
"SW3","430182043816","TopLayer","SWITCH","744,095","151,575","0"
"R18","10k","TopLayer","R0603","868,111","402,504","180"
"C90","100n","TopLayer","C0805","866,339","341,150","0"
"R16","0R","TopLayer","R0805","157,481","956,693","270"
"C89","10p","TopLayer","C0805","496,064","676,182","90"
"R15","3k3","TopLayer","R0805","421,644","676,182","270"
"R14","50R","TopLayer","R0805","455,709","863,189","180"
"R13","50R","TopLayer","R0805","280,512","862,205","0"
"R12","2k","TopLayer","R0805","455,107","785,434","0"
"R11","2k","TopLayer","R0805","281,879","785,434","180"
"R10","3k3","TopLayer","R0805","320,266","676,182","270"
"R9","3k","TopLayer","R0805","555,119","1335,630","270"
"R8","3k","TopLayer","R0805","634,843","1335,630","270"
"U12","THS4521ID","TopLayer","SOIC127P599X175-8N","364,558","497,639","180"
"U11","SN74LVT245BPWRPW20-L","TopLayer","SN74LVT245BPWR","367,127","1976,378","180"
"U10","THS5671AIPWPW28-L","TopLayer","THS5671AIPWPW28-L","366,678","1479,828","0"
"U9","SN74LVT245BPWRPW20-L","TopLayer","SN74LVT245BPWR","367,127","1058,110","180"
"J9","OUT_P","TopLayer","0731000207","4358,268","996,063","90"
"C88","100n","TopLayer","C0805","173,229","551,969","90"
"C87","100n","TopLayer","C0805","173,229","424,410","270"
"C86","10p","TopLayer","C0805","248,032","676,182","90"
"C85","100n","TopLayer","C0805","585,312","1472,638","270"
"C84","100n","TopLayer","C0805","585,312","1598,623","270"
"J7","Con_2_Eurostyle","TopLayer","CON_2_EUROSTYLE","4332,087","3088,781","0"
"X1","LFSPXO01998 (3.3V)","TopLayer","4-SMD","1802,087","2204,331","0"
"U8","LT3508EUF","TopLayer","24-WFQFN","813,386","3114,175","0"
"U7","LT3508EUF","TopLayer","24-WFQFN","2392,126","3113,190","0"
"U5","DRTR5V0U4S-7","TopLayer","SOT323-6_DRTR5V0U4S_DIO","1869,051","177,166","180"
"U4","MX25L12833FMI-10G","TopLayer","16-SOP","1863,583","753,938","0"
"U3","THS4521ID","TopLayer","SOIC127P599X175-8N","3598,143","910,506","0"
"U2","ADS5474","TopLayer","QFP50P1400X1400X120-81N","3224,141","1864,513","135"
